instance,time,memory,profit,status_or_feasible,algorithm,n_items,capacity,profit_ref,rel_error
knapPI_14_200_1000_1,0.0023844999959692,0.0577516555786132,2184.0,1,2approx_results,,,2184.0,0.0
knapPI_1_500_1000_1,0.0051890000468119,0.0775785446166992,12668.0,1,2approx_results,,,12805.0,0.010698945724326392
knapPI_2_500_1000_1,0.0069038999499753,0.0624580383300781,1295.0,1,2approx_results,,,1306.0,0.008422664624808562
knapPI_3_500_1000_1,0.0050254999659955,0.062936782836914,2596.0,1,2approx_results,,,2596.0,0.0
f10_l-d_kp_20_879,0.0009280000813305,0.0377254486083984,1019.0,1,2approx_results,20.0,879.0,1025.0,0.005853658536585371
f1_l-d_kp_10_269,0.0007305999752134,0.0376510620117187,294.0,1,2approx_results,10.0,269.0,295.0,0.003389830508474523
f2_l-d_kp_20_878,0.0007904999656602,0.0380096435546875,1018.0,1,2approx_results,20.0,878.0,1024.0,0.005859375
f3_l-d_kp_4_20,0.0006393999792635,0.0374641418457031,35.0,1,2approx_results,4.0,20.0,35.0,0.0
f4_l-d_kp_4_11,0.0005468999734148,0.0374488830566406,16.0,1,2approx_results,4.0,11.0,23.0,0.30434782608695654
f5_l-d_kp_15_375,0.0006876999977976,0.038431167602539,481069368.0,1,2approx_results,15.0,375.0,481069368.0,0.0
f6_l-d_kp_10_60,0.000606199959293,0.037642478942871,52.0,1,2approx_results,10.0,60.0,52.0,0.0
f7_l-d_kp_7_50,0.0005815000040456,0.0376091003417968,102.0,1,2approx_results,7.0,50.0,107.0,0.04672897196261683
f8_l-d_kp_23_10000,0.0006776000373065,0.0388946533203125,9751.0,1,2approx_results,23.0,10000.0,9767.0,0.001638169345756113
f9_l-d_kp_5_80,0.0004960000514984,0.0374822616577148,130.0,1,2approx_results,5.0,80.0,130.0,0.0
knapPI_14_200_1000_1,0.0033382000401616,0.0597724914550781,2184.0,1,bnb_results,,,2184.0,0.0
knapPI_1_500_1000_1,0.0070606999797746,0.0785665512084961,12805.0,1,bnb_results,,,12805.0,0.0
knapPI_2_500_1000_1,0.0079849000321701,0.0633955001831054,1306.0,1,bnb_results,,,1306.0,0.0
knapPI_3_500_1000_1,0.0071011999389156,0.0641717910766601,2596.0,1,bnb_results,,,2596.0,0.0
f10_l-d_kp_20_879,0.0012448999332264,0.0387849807739257,1025.0,1,bnb_results,20.0,879.0,1025.0,0.0
f1_l-d_kp_10_269,0.0006802999414503,0.0386266708374023,295.0,1,bnb_results,10.0,269.0,295.0,0.0
f2_l-d_kp_20_878,0.0018090000376105,0.038405418395996,1024.0,1,bnb_results,20.0,878.0,1024.0,0.0
f3_l-d_kp_4_20,0.0008603000314906,0.0380659103393554,35.0,1,bnb_results,4.0,20.0,35.0,0.0
f4_l-d_kp_4_11,0.0007337999995797,0.0381269454956054,23.0,1,bnb_results,4.0,11.0,23.0,0.0
f5_l-d_kp_15_375,0.0008620999287813,0.0388736724853515,481069368.0,1,bnb_results,15.0,375.0,481069368.0,0.0
f6_l-d_kp_10_60,0.000921499915421,0.037978172302246,52.0,1,bnb_results,10.0,60.0,52.0,0.0
f7_l-d_kp_7_50,0.0006382999708876,0.0376930236816406,107.0,1,bnb_results,7.0,50.0,107.0,0.0
f8_l-d_kp_23_10000,30.590815100003965,223.2327766418457,9767.0,1,bnb_results,23.0,10000.0,9767.0,0.0
f9_l-d_kp_5_80,0.0013278999831527,0.038466453552246,130.0,1,bnb_results,5.0,80.0,130.0,0.0
knapPI_14_200_1000_1,475.63279659999534,17.861915588378906,2184.0,1,fptas_results,,,2184.0,0.0
knapPI_1_500_1000_1,,,,timeout,fptas_results,,,12805.0,
knapPI_2_500_1000_1,,,,timeout,fptas_results,,,1306.0,
knapPI_3_500_1000_1,,,,timeout,fptas_results,,,2596.0,
f10_l-d_kp_20_879,0.5251067000208423,0.5782814025878906,1024.0,1,fptas_results,20.0,879.0,1025.0,0.0009756097560975618
f1_l-d_kp_10_269,0.0477834000485017,0.0512428283691406,295.0,1,fptas_results,10.0,269.0,295.0,0.0
f2_l-d_kp_20_878,0.5221015000715852,0.5787849426269531,1023.0,1,fptas_results,20.0,878.0,1024.0,0.0009765625
f3_l-d_kp_4_20,0.0066192999947816,0.0377006530761718,35.0,1,fptas_results,4.0,20.0,35.0,0.0
f4_l-d_kp_4_11,0.0047548000002279,0.0377006530761718,23.0,1,fptas_results,4.0,11.0,23.0,0.0
f5_l-d_kp_15_375,0.147000900004059,0.2437705993652343,480423169.0,1,fptas_results,15.0,375.0,481069368.0,0.0013432553452457086
f6_l-d_kp_10_60,0.0396480000345036,0.0485610961914062,52.0,1,fptas_results,10.0,60.0,52.0,0.0
f7_l-d_kp_7_50,0.0069076000945642,0.0375785827636718,107.0,1,fptas_results,7.0,50.0,107.0,0.0
f8_l-d_kp_23_10000,1.0874869999242949,0.6263542175292969,9761.0,1,fptas_results,23.0,10000.0,9767.0,0.0006143135046585702
f9_l-d_kp_5_80,0.0051119000418111,0.0376195907592773,130.0,1,fptas_results,5.0,80.0,130.0,0.0
